id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,substitution_outcome,substitution_replacement,possession_team_id,team_id,player_id,substitution_outcome_id,substitution_replacement_id,off_camera
8908ccbd-52b4-4734-8c3f-db2b26fb4529,3129,2,00:35:03.849,80,3,Substitution,136,Belgium,From Goal Kick,Ukraine,Oleksandr Svatok,Center Back,0.0,3938645,Tactical,Andriy Yarmolenko,782,911,30059,103,8830,
fc23aaa2-bc70-473e-9da2-bdaba92e5642,3386,2,00:44:20.109,89,20,Substitution,153,Belgium,Other,Belgium,Romelu Lukaku Menama,Center Forward,0.0,3938645,Tactical,Ikoma Loïs Openda,782,782,3289,103,16275,
adbcfd53-6373-4b43-828a-d174e2091ee2,1652,2,00:00:00.000,45,0,Substitution,77,Turkey,From Throw In,Turkey,Salih Özcan,Right Defensive Midfield,0.0,3930184,Tactical,Kaan Ayhan,909,909,9085,103,12293,
15ac09a6-00df-4701-a9e8-116d33d463da,1867,2,00:09:29.351,54,29,Substitution,89,Turkey,From Keeper,Czech Republic,Jindřich Staněk,Goalkeeper,0.0,3930184,Injury,Matěj Kovář,909,912,28040,102,46046,
e0f0ac00-1e1f-41dd-8164-d221b1be7e9b,1868,2,00:09:37.437,54,37,Substitution,89,Turkey,From Keeper,Czech Republic,Adam Hložek,Right Center Midfield,0.0,3930184,Tactical,Tomáš Chorý,909,912,28239,103,21226,
4362386a-3950-42af-88d6-1d0e076b7336,1869,2,00:09:48.739,54,48,Substitution,89,Turkey,From Keeper,Czech Republic,Mojmír Chytil,Center Forward,0.0,3930184,Tactical,Jan Kuchta,909,912,32985,103,29484,
7f312262-a465-4575-a623-1a12e12653df,2021,2,00:17:38.090,62,38,Substitution,102,Czech Republic,Regular Play,Turkey,İsmail Yüksek,Left Defensive Midfield,0.0,3930184,Tactical,Okay Yokuşlu,912,909,78241,103,12555,
a5d6525d-9599-4a60-9af1-8f98ffe56cb4,2254,2,00:29:27.673,74,27,Substitution,118,Czech Republic,Regular Play,Czech Republic,Lukáš Provod,Left Center Midfield,0.0,3930184,Tactical,Ondřej Lingr,912,912,28034,103,27826,
51233b61-e40f-48b9-87f1-cdca4d61af3d,2255,2,00:30:17.010,75,17,Substitution,118,Czech Republic,Regular Play,Turkey,Arda Güler,Center Forward,0.0,3930184,Tactical,Cenk Tosun,912,909,116587,103,3648,
31b856d0-2b18-4de0-827c-60dbb9087569,2257,2,00:30:28.374,75,28,Substitution,119,Czech Republic,From Throw In,Turkey,Kenan Yildiz,Left Wing,0.0,3930184,Tactical,Muhammed Kerem Aktürkoğlu,912,909,151813,103,49689,
