id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure
19cbe50c-8280-4865-bb26-5e019af232a0,1769,1,00:44:26.385,44,26,Interception,57,Netherlands,From Throw In,Turkey,Salih Özcan,Right Defensive Midfield,"[14.3, 51.6]",0.0,['34132b43-6264-47ee-a1d8-c1ae7a03479f'],3942382,Won,941,909,9085,,
601d0ff7-bf96-4d77-a9ee-8abe7c270bba,1965,2,00:03:15.979,48,15,Interception,68,Netherlands,From Goal Kick,Turkey,Abdülkerim Bardakcı,Left Center Back,"[33.8, 5.7]",0.0,['4f8d18b9-51d3-4e55-bfb0-dc9388d36c8d'],3942382,Lost Out,941,909,48383,,
e0ac19e8-3721-4c16-be89-24758ec8f602,2611,2,00:21:58.727,66,58,Interception,96,Netherlands,From Free Kick,Netherlands,Denzel Dumfries,Right Back,"[70.6, 63.7]",0.0,['80569769-bcd7-4916-b62c-657f574d516a'],3942382,Won,941,941,8125,True,
9e783d69-ae52-4f8f-92fc-5608800a2ab8,2686,2,00:23:59.428,68,59,Interception,98,Netherlands,Regular Play,Turkey,Mert Müldür,Right Wing Back,"[30.6, 78.9]",0.0,['29bbd528-66fd-4561-b105-8c7bf6cbf708'],3942382,Won,941,909,10826,,
59209073-942f-45c0-9b28-cf4cb8d37bf3,2965,2,00:33:14.357,78,14,Interception,105,Netherlands,Regular Play,Turkey,Mert Müldür,Right Wing Back,"[43.0, 72.9]",0.0,['b21a6bb1-4397-41c3-a882-19f5331278b5'],3942382,Lost In Play,941,909,10826,,
89a79f02-7f40-466b-9bf5-6d0c1390f589,3027,2,00:37:28.485,82,28,Interception,107,Netherlands,Regular Play,Netherlands,Joey Veerman,Left Defensive Midfield,"[59.1, 36.7]",0.0,['6814632b-f89a-48a7-86ee-75de943a30dc'],3942382,Won,941,941,21633,,
c110680c-8c5a-4b87-a9b8-8629966e91f5,3277,2,00:43:58.223,88,58,Interception,117,Turkey,From Counter,Turkey,Okay Yokuşlu,Right Center Back,"[25.1, 70.1]",0.0,['b5116f29-1e17-4fac-a3e3-3f52622230f6'],3942382,Won,909,909,12555,True,
27d8dd67-2a8e-4d4c-87bb-37e70fb42eb8,161,1,00:02:27.325,2,27,Interception,3,France,From Free Kick,France,Dayotchanculle Upamecano,Right Center Back,"[49.0, 56.1]",0.0,['72605eed-5c1a-47ea-872d-ea82a402ee15'],3942349,Won,771,771,8519,True,
080b9e4d-ba6e-4371-8f20-d3060ee508af,286,1,00:04:11.794,4,11,Interception,4,Portugal,Regular Play,France,N'Golo Kanté,Right Center Midfield,"[18.7, 27.1]",0.0,['5b002353-4b1b-4b8f-8dbb-908647cd2d0f'],3942349,Lost In Play,780,771,3961,,
ab0ab824-0d28-41f8-8337-323f7c22bc0a,296,1,00:04:18.175,4,18,Interception,5,France,Regular Play,Portugal,João Maria Lobo Alves Palhinha Gonçalves,Right Defensive Midfield,"[76.6, 22.2]",0.0,['0a59e1f0-0d08-41e4-84b3-95198a581478'],3942349,Lost In Play,771,780,12169,True,
8fd504c2-f9d0-45d8-aed7-fdc2127c6d2a,626,1,00:12:20.041,12,20,Interception,11,Portugal,Regular Play,Portugal,João Pedro Cavaco Cancelo,Right Back,"[15.2, 71.1]",0.0,['1f2f5db6-a4a2-4f16-b710-5802d6b7bfbd'],3942349,Won,780,780,7005,True,
558d9044-d04a-4a6e-bcae-4179ec87376d,694,1,00:14:11.649,14,11,Interception,13,France,From Throw In,Portugal,João Maria Lobo Alves Palhinha Gonçalves,Right Defensive Midfield,"[79.8, 5.2]",0.0,['0e4ce181-65fe-46b3-8128-b768163ed87f'],3942349,Lost Out,771,780,12169,,
16521750-8e59-481e-bd12-9581ac05bb61,707,1,00:15:05.780,15,5,Interception,17,Portugal,Regular Play,Portugal,João Pedro Cavaco Cancelo,Right Back,"[45.2, 73.8]",0.0,['24e4a66c-95c6-44d1-adff-b306b25b4ee4'],3942349,Won,780,780,7005,,
42abeda1-990e-47da-a5ff-3b967f2af485,1594,1,00:35:45.176,35,45,Interception,52,Portugal,Regular Play,France,Aurélien Djani Tchouaméni,Center Defensive Midfield,"[76.9, 72.5]",0.0,['6200e9e3-0c30-4224-91dc-02e8788ed43a'],3942349,Lost Out,780,771,10481,,
8cb6bdb9-2fee-4532-8c89-03a31260ae41,2208,2,00:04:17.383,49,17,Interception,74,Portugal,From Keeper,France,Jules Koundé,Right Back,"[43.0, 75.8]",0.0,['d05d6a1b-9813-46b1-a03a-94e987d82b5b'],3942349,Lost Out,780,771,4445,,
2fdb1ac2-64ff-4cac-909e-f2d6d0372b03,2333,2,00:06:21.008,51,21,Interception,77,France,From Free Kick,Portugal,Bruno Miguel Borges Fernandes,Center Attacking Midfield,"[11.2, 27.5]",0.0,['6a3c09fe-4fdc-4675-b4cc-ff1710d76642'],3942349,Won,771,780,5204,,
a4d88ba4-254e-47c0-9698-cb4f355786ec,2374,2,00:07:18.370,52,18,Interception,80,France,Regular Play,France,N'Golo Kanté,Left Center Midfield,"[98.3, 8.3]",0.0,['8f0a300c-6c92-41eb-a24b-7433286c9fe6'],3942349,Won,771,771,3961,True,
08eb3279-af2d-473c-b2ff-89445aab1934,2805,2,00:20:14.544,65,14,Interception,99,Portugal,From Corner,Portugal,Nuno Mendes,Left Back,"[86.2, 35.6]",0.0,['61014a45-51e1-42b1-8ef2-83cfdaae0943'],3942349,Won,780,780,41092,True,
16c27c67-a9f8-4e5e-ae17-5bfe1d3121a3,3304,2,00:31:52.814,76,52,Interception,109,France,Regular Play,France,N'Golo Kanté,Right Center Midfield,"[25.9, 19.9]",0.0,['d8dcec08-7bee-4825-8459-a104d4ac2628'],3942349,Won,771,771,3961,,
871f46f2-c8e3-48ea-952d-cf799b333f40,3637,2,00:42:01.074,87,1,Interception,120,Portugal,From Corner,France,Jules Koundé,Right Back,"[24.0, 62.2]",0.0,['0d713054-e3e8-4526-99a7-d1217b1ee72e'],3942349,Lost In Play,780,771,4445,,
a33e7287-c53c-4e22-8384-dc08c13abeb1,4131,3,00:05:37.547,95,37,Interception,141,Portugal,From Throw In,France,Theo Bernard François Hernández,Left Back,"[14.7, 13.2]",0.0,['800411aa-f97f-4119-9f4f-f705b88ac84b'],3942349,Success In Play,780,771,6704,,
