id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,location,duration,match_id,possession_team_id,team_id,off_camera
c479d0f6-9460-4916-8649-68462fa0789f,1434,1,00:31:31.965,31,31,Referee Ball-Drop,56,Italy,Other,Italy,"[33.8, 39.6]",0.0,3930172,914,914,
276c39c5-21ec-46ba-bd7f-499ee818871e,2386,2,00:15:12.949,60,12,Referee Ball-Drop,98,Croatia,Other,Croatia,"[88.5, 52.8]",0.0,3930167,785,785,
e47db03b-5a17-4c3a-82f2-6ac5cf890959,2387,2,00:15:13.327,60,13,Referee Ball-Drop,99,Albania,Other,Albania,"[31.1, 24.9]",0.0,3930167,906,906,
e9379825-88c5-44ef-8549-ec6c079f7ada,2585,2,00:20:03.233,65,3,Referee Ball-Drop,111,Albania,Other,Albania,"[42.1, 10.6]",0.0,3930167,906,906,True
5c1dfff5-eae7-4cc6-973e-11ddf5b3c53f,2587,2,00:20:04.429,65,4,Referee Ball-Drop,112,Croatia,Other,Croatia,"[76.8, 69.5]",0.0,3930167,785,785,
e3a17b0d-1f45-4678-ae65-ff07cb5ce077,3171,2,00:36:20.598,81,20,Referee Ball-Drop,142,Austria,Other,Austria,"[37.7, 33.4]",0.0,3930165,915,915,
ae3f81ae-eae9-4b61-b530-77536743a179,3172,2,00:36:20.598,81,20,Referee Ball-Drop,143,France,Other,France,"[80.5, 46.2]",0.0,3930165,771,771,
b1d7d038-ec3d-4fb5-bf4a-d25dae3e139f,3333,2,00:45:16.599,90,16,Referee Ball-Drop,154,France,Other,France,"[55.3, 40.1]",0.0,3930165,771,771,True
6927c5c9-4257-4337-b4de-9dbcf75c5716,3334,2,00:45:16.839,90,16,Referee Ball-Drop,155,Austria,Other,Austria,"[65.5, 38.1]",0.0,3930165,915,915,True
c043d352-b54e-49c5-8ebf-68198303f481,3374,2,00:46:50.632,91,50,Referee Ball-Drop,158,Austria,Other,Austria,"[110.1, 52.2]",0.0,3930165,915,915,True
f5a96d18-8dd7-4c00-9ff6-a1f88f682d63,3375,2,00:46:51.385,91,51,Referee Ball-Drop,159,France,Other,France,"[10.5, 29.7]",0.0,3930165,771,771,True
7c3c7307-3af4-403e-aaf0-fa504a6aff67,595,1,00:17:07.909,17,7,Referee Ball-Drop,31,Belgium,Other,Belgium,"[43.2, 55.2]",0.0,3930164,782,782,
8b5cfb86-f421-44f5-b3cc-aa17efc9bc3a,596,1,00:17:08.140,17,8,Referee Ball-Drop,32,Slovakia,Other,Slovakia,"[76.9, 24.9]",0.0,3930164,908,908,
47c654e3-2fed-4f99-917f-c1c6b8f2d920,717,1,00:21:22.336,21,22,Referee Ball-Drop,43,Belgium,Other,Belgium,"[67.7, 62.1]",0.0,3930164,782,782,True
772f8f97-9e77-409c-a044-18cc88c97401,718,1,00:21:23.111,21,23,Referee Ball-Drop,44,Slovakia,Other,Slovakia,"[52.2, 17.8]",0.0,3930164,908,908,
3f7ce295-669b-451b-a7c4-7c4f3e7a78e4,2453,2,00:18:32.632,63,32,Referee Ball-Drop,115,Belgium,Other,Belgium,"[86.0, 19.4]",0.0,3930164,782,782,True
6b051a2b-b323-434d-a48b-2de16e8fd18b,2454,2,00:18:32.963,63,32,Referee Ball-Drop,116,Slovakia,Other,Slovakia,"[34.1, 60.7]",0.0,3930164,908,908,True
8eef1625-e734-4ecb-a0a0-6d270f3e619a,2470,2,00:19:57.730,64,57,Referee Ball-Drop,120,Slovakia,Other,Slovakia,"[71.9, 7.9]",0.0,3930164,908,908,True
3dc75a2e-869a-4d6c-96dd-278682a42c08,2471,2,00:19:58.016,64,58,Referee Ball-Drop,121,Belgium,Other,Belgium,"[48.2, 72.2]",0.0,3930164,782,782,True
743026e7-1137-4dd8-80a3-3915916de36a,3412,2,00:49:18.394,94,18,Referee Ball-Drop,166,Slovakia,Other,Slovakia,"[7.6, 30.5]",0.0,3930164,908,908,
967bc053-277d-4b93-be49-196c96ddb7d6,2233,2,00:08:11.130,53,11,Referee Ball-Drop,72,Albania,Other,Albania,"[73.6, 60.3]",0.0,3930161,906,906,
